type,model,metric,mean,lb,ub
reg,dummy,mse,0.7497910510345261,0.6929842944737885,0.8133565950614055
reg,dummy,mae,0.6765899837184175,0.6462856603661875,0.7056032807388879
reg,linear,mse,0.5220180144927731,0.47176935735847936,0.5754697604165393
reg,linear,mae,0.5531890005884142,0.5297553631621211,0.5774781306097109
reg,svm,mse,0.4784487584631673,0.4335195521769925,0.5263036793691217
reg,svm,mae,0.514451586854258,0.4912153778608726,0.5391219674651402
reg,rf,mse,0.34485172469893804,0.30584995953138155,0.3907463864385163
reg,rf,mae,0.4112858287073751,0.3894482553528945,0.4345527359238699
reg,mlp,mse,0.5253628249787937,0.4772000880206263,0.5764064606003007
reg,mlp,mae,0.5641675499279006,0.5412242522640398,0.587904993010459
clf,dummy,mse,1.5181053846153845,1.396923076923077,1.6407692307692308
clf,dummy,mae,0.9197653846153846,0.874576923076923,0.9623269230769231
clf,dummy,f1_score,0.3299915384615385,0.30538461538461537,0.35540384615384607
clf,linear,mse,0.6064376923076923,0.553826923076923,0.6615576923076922
clf,linear,mae,0.4879161538461539,0.45921153846153845,0.51925
clf,linear,f1_score,0.56598,0.5399807692307693,0.5907884615384615
clf,svm,mse,0.5779169230769231,0.5238461538461539,0.6346153846153846
clf,svm,mae,0.46651846153846155,0.43459615384615385,0.4977115384615385
clf,svm,f1_score,0.5837615384615383,0.5576923076923077,0.6100192307692308
clf,rf,mse,0.4030646153846154,0.3546153846153846,0.4584615384615385
clf,rf,mae,0.32745230769230765,0.29846153846153844,0.35615384615384615
clf,rf,f1_score,0.7049015384615384,0.6815384615384615,0.7284615384615385
clf,mlp,mse,0.6193623076923077,0.5699807692307691,0.6754038461538461
clf,mlp,mae,0.5068961538461538,0.4769038461538462,0.5384807692307692
clf,mlp,f1_score,0.5432076923076923,0.5169230769230769,0.5692307692307692
